Taxon	BCD1	BCD2	BCP1	BCP2	BD1	BD4	BP1	BP4	CD1	CD2	CD3	CD4	CD5	CD8	CP1	CP2	CP3	CP4	CP5	CP8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Other	0.0100326059694	0.012012012012	0.00288370705514	0.011961722488	0.0	0.0	0.0	0.0	0.0104756511891	0.0	0.0362810579749	0.0	0.0	0.0	0.00367318915208	0.0	0.0111141548938	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0.000125407574618	0.003003003003	0.000149157261473	0.0	0.0	0.0	0.0	0.0	0.00102633069083	0.0	0.0	0.0	0.0	0.0	0.000566426364573	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00330498391574	0.0	0.0	0.0	0.0	0.0	0.000499458919504	0.0	0.0	0.0	3.71002448616e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.000877853022323	0.003003003003	0.00159101078904	0.0	0.0	0.0	0.0123456790123	0.0	0.0099093997735	0.00423037941215	0.00678600053433	0.00149665590945	0.0	0.00520446096654	0.0185890834192	0.00615999334055	0.00770946659883	0.0044142614601	0.0	0.0168064109223
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Other	0.000250815149235	0.0	9.94381743151e-05	0.0	0.0	0.0	0.0	0.0	0.000743204983012	0.0	0.0	0.0	0.0	0.000131204898316	0.000274630964641	0.000249729459752	7.82686964349e-05	0.0	0.0	3.71002448616e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella	0.0	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.00240656851642	0.00282025294144	0.00213732300294	2.33852485852e-05	0.0	0.0	0.000995537246825	0.00153999833514	0.00109576175009	0.0	0.0	7.42004897232e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.00225733634312	0.003003003003	0.00218763983493	0.00717703349282	0.0	0.00492610837438	0.0123456790123	0.00806451612903	0.0198541902605	0.00581677169171	0.0569062249532	0.000654786960385	0.00627585223221	0.000656024491581	0.00248884311706	0.00183134937151	0.00669197354518	0.00207979626486	0.00340936764348	0.000333902203755
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Spirosoma	0.000125407574618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24448217317e-05	0.0	0.0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	0.0	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34330750735e-05	0.0	0.0	0.0	3.43288705802e-05	0.0	3.91343482174e-05	0.0	0.0	0.0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000106866150147	0.0006314017118	0.000427899015832	4.37349661054e-05	0.0	0.0	7.82686964349e-05	8.48896434635e-05	0.000243526260248	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0.000376222723853	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111300734585
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus	0.000125407574618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000743494423792	5.14933058702e-05	0.0	0.0	0.0	0.0	0.00103880685613
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other	0.000752445447705	0.00600600600601	0.00104410083031	0.00239234449761	0.0	0.0	0.0	0.0	3.53907134768e-05	4.40664522099e-05	0.000534330750735	0.0	0.0	0.00192433850864	1.71644352901e-05	0.0	0.000117403044652	0.0	0.0	0.00478593158715
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.00050163029847	0.003003003003	0.00109381991747	0.00717703349282	0.0	0.00492610837438	0.0	0.0	7.07814269536e-05	0.0	0.000267165375367	2.33852485852e-05	0.0	0.00188060354253	1.71644352901e-05	0.0	0.000117403044652	0.0	0.0	0.00652964309564
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71002448616e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000111300734585
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.35409943408e-05	0.0	4.37349661054e-05	0.0	0.0	0.0	0.0	0.0	7.42004897232e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.118259342864	0.033033033033	0.0656789141351	0.0311004784689	0.0403587443946	0.0541871921182	0.0493827160494	0.0322580645161	0.452965741789	0.487198695633	0.285599786268	0.182989570179	0.336185993439	0.516160069976	0.269927909372	0.149629567968	0.065158689782	0.170755517827	0.221040668885	0.250018550122
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	0.000250815149235	0.0	9.94381743151e-05	0.0	0.0	0.0	0.0	0.0	0.000920158550396	0.000705063235359	0.000587763825808	0.00121603292643	0.000285266010555	0.000830964356003	0.000669412976313	0.000790809955881	0.000978358705436	0.001740237691	0.00121763130124	0.000482303183201
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71644352901e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00627037873088	0.0	0.00517078506439	0.0	0.00448430493274	0.00492610837438	0.0	0.0	0.0106526047565	0.00960648658177	0.0125033395672	0.00512136944016	0.00185422906861	0.00848458342445	0.00537246824579	0.00491134604179	0.00289594176809	0.0101867572156	0.0103092783505	0.00396972620019
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.000250815149235	0.0	9.94381743151e-05	0.0	0.0	0.0	0.0	0.0	0.000212344280861	0.0	0.000267165375367	0.0	0.0	4.37349661054e-05	0.000463439752832	4.16215766253e-05	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Other;Other;Other	0.00163029847003	0.0	0.00139213444041	0.0	0.0	0.0	0.0	0.0	0.000530860702152	0.00127792711409	0.000908362276249	0.000280622983022	0.000427899015832	0.00170566367811	0.000463439752832	0.000291351036377	0.00015653739287	0.000424448217317	0.00194821008199	0.00148400979446
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	4.40664522099e-05	0.0	0.0	0.0	0.0	1.71644352901e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.00617283950617	0.0	0.0	0.0	0.00016029922522	0.000140311491511	0.0	0.0	0.0	0.0	0.0	0.000594227504244	0.0	0.0
